ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
polyvinylpolypyrrolidone,"A processed stabilizer used to clarify beverages.","It helps remove unwanted particles and improve clarity.","It is commonly used in beer and wine to make them look clearer.","caution","Generally safe, but highly processed and mainly used in industrial food production.","caution","Usually safe for dogs in small amounts, but unnecessary in a natural diet.","caution","Usually safe for cats in small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
polyvinyl_alcohol,"A synthetic substance used as a coating in food products.","It helps protect and stabilize surfaces.","Despite the name, it is not the same as drinking alcohol — it’s used for structure, not intoxication.","caution","Approved for use, but very processed and not part of simple foods.","caution","Usually safe for dogs in small amounts, but not needed in regular diets.","caution","Usually safe for cats in small amounts and mainly affects structure.","HealthyWhooo profile v1"
lysozyme,"An enzyme that helps break down bacteria.","It is used to preserve food and improve shelf life.","Lysozyme naturally occurs in egg whites as part of the body’s defense system.","caution","Generally safe, but may cause issues for people with egg allergies.","safe","Safe for dogs in small amounts and used for preservation.","safe","Safe for cats in small amounts and not harmful in typical use.","HealthyWhooo profile v1"
invertase,"An enzyme that breaks sugar into simpler forms.","It is used to create soft and liquid centers in sweets.","Invertase is what makes the inside of some chocolates become soft over time.","safe","Generally safe and widely used in sweets.","safe","Safe for dogs in small amounts, but sugary products are not recommended.","safe","Safe for cats in small amounts, though sweets are not suitable for them.","HealthyWhooo profile v1"
quillaia_extract,"A plant extract used to create foam in drinks.","It helps form and stabilize foam on the surface of beverages.","It’s what gives some drinks that light foam layer — even without shaking.","caution","Generally safe, but still an additive used mainly for appearance and texture.","safe","Safe for dogs in small amounts, though not nutritionally useful.","safe","Safe for cats in small amounts and mainly used for visual effect.","HealthyWhooo profile v1"
hydrogen,"A gas used in food processing, especially in fat modification.","It is used in processes like hydrogenation to change the structure of oils.","Hydrogen is part of the process that can turn liquid oils into more solid fats.","caution","Generally safe in controlled use, but associated with highly processed fats.","caution","Not harmful in trace amounts, but not relevant to a natural diet.","caution","Not harmful in trace amounts, but not nutritionally useful.","HealthyWhooo profile v1"
oxygen,"A natural gas used in food packaging.","It helps control the atmosphere around food and maintain freshness.","It’s the same gas we breathe — just used here to manage food storage.","safe","Completely safe and naturally present in the environment.","safe","Safe for dogs and not harmful in packaging use.","safe","Safe for cats and not harmful in packaging use.","HealthyWhooo profile v1"
nitrogen,"An inert gas used to protect food from spoilage.","It replaces oxygen in packaging to keep products fresh longer.","That “air” in a chips bag is actually nitrogen — not oxygen.","safe","Generally safe and widely used in food packaging.","safe","Safe for dogs and not harmful in packaging use.","safe","Safe for cats and not harmful in packaging use.","HealthyWhooo profile v1"
argon,"An inert gas used in food and beverage preservation.","It helps protect products from oxidation.","Argon is often used to preserve opened wine and keep it fresh longer.","safe","Generally safe and used in controlled environments.","safe","Safe for dogs in trace amounts used in packaging.","safe","Safe for cats in trace amounts used in packaging.","HealthyWhooo profile v1"
helium,"A gas used in some specialized food processes.","It can help create specific textures or effects.","Yes — the same gas used in balloons can also be used in food technology.","safe","Generally safe in controlled food applications.","safe","Safe for dogs in trace amounts used in processing.","safe","Safe for cats in trace amounts used in processing.","HealthyWhooo profile v1"
butane,"A gas used as a propellant in food sprays.","It helps push products like oils out of spray containers.","It’s what allows spray oils to come out evenly without needing pressure from the user.","caution","Approved in limited amounts, but associated with highly processed formats.","caution","Safe in trace amounts, but not relevant to a natural diet.","caution","Safe in trace amounts, but not nutritionally useful.","HealthyWhooo profile v1"
isobutane,"A propellant gas used in food sprays.","It helps dispense products from aerosol containers.","It works together with other gases to create a fine spray.","caution","Approved for use, but mainly found in processed spray products.","caution","Safe in trace amounts, but unnecessary in a dog’s diet.","caution","Safe in trace amounts, but not useful for cats.","HealthyWhooo profile v1"
propane,"A gas used as a propellant in certain food products.","It helps release products like oils from spray cans.","The same type of gas used in grills can also be used in controlled food applications.","caution","Approved in small amounts, but associated with processed spray formats.","caution","Safe in trace amounts, but not part of a natural diet.","caution","Safe in trace amounts, but not nutritionally relevant.","HealthyWhooo profile v1"
